feature_id,category,feature_name,cerebras,openai,anthropic,google,aws_bedrock,azure_openai
logprobs,Output & Integration,Logprobs,📝,📝,📝,📝,📝,📝
structured_outputs,Output & Integration,Structured outputs,📝,📝,📝,📝,📝,📝
tool_calling,Output & Integration,Tool calling,📝,📝,📝,📝,📝,📝
streaming,Output & Integration,Streaming,📝,📝,📝,📝,📝,📝
responses_reasoning,Reasoning & Semantics,Reasoning/Responses-style,📝,📝,📝,📝,📝,📝
batch_api,Workload Types,Batch/async API,📝,📝,📝,📝,📝,📝
fine_tune,Model Customization,Fine-tuning,📝,📝,📝,📝,📝,📝
lora,Model Customization,LoRA adapters,📝,📝,📝,📝,📝,📝
rate_limits,Platform Behavior,Rate limits/quotas/burst,📝,📝,📝,📝,📝,📝
queueing,Platform Behavior,Queueing under burst,📝,📝,📝,📝,📝,📝
priority,Platform Behavior,Priority/eviction,📝,📝,📝,📝,📝,📝
caching,Platform Behavior,Caching/routing,📝,📝,📝,📝,📝,📝
sampling,Controls,Sampling control,📝,📝,📝,📝,📝,📝
versioning,Product Guarantees,Versioning/backward compat,📝,📝,📝,📝,📝,📝
tenancy,Capacity & Tenancy,Multi-tenant vs dedicated,📝,📝,📝,📝,📝,📝
